app_temp,azimuth,clouds,dewpt,dhi,dni,elev_angle,ghi,precip_rate,pres,rh,slp,snow_rate,solar_rad,temp,uv,vis,wind_dir,wind_gust_spd,wind_spd,Broken clouds,Clear Sky,Few clouds,Fog,Haze,Heavy rain,Light rain,Moderate rain,Overcast clouds,Scattered clouds,Thunderstorm with heavy rain,timestamp
12.999162,118.18381,53.572838,10.334736,4.7778673,30.825525,-28.940481,21.878063,-1.1186373,1017.3215,83.371414,1024.5032,-0.003247052,25.503855,0.338883,12.878835,199.78229,5.1038127,5.310028,0.15913737,-0.32317275,0.4247665,-0.19472001,0.07910966,-0.017016651,-0.057787225,-0.014270764,0.4002747,0.106998704,0.021103822,12.940939,2023-05-18 05:45:00
13.090404,130.8908,49.175117,10.262957,4.8192873,26.868967,-29.2486,22.517117,-1.0975688,1017.2653,82.3223,1024.4429,-0.0014114473,25.310625,0.3180097,12.899198,191.2949,5.292391,5.282444,0.19311889,-0.30963022,0.45885095,-0.27518213,0.18839669,-0.0039497204,-0.06909924,-0.012786852,0.36437443,0.13324592,0.028228158,13.033258,2023-05-18 06:00:00
13.240269,134.53157,48.33841,10.281161,5.054078,28.282282,-27.012243,30.487904,-1.2566336,1017.36304,82.36869,1024.4592,0.00022818676,23.515818,0.30751735,12.687425,196.16241,5.296701,5.227623,0.27360788,-0.3047717,0.4615393,-0.20866391,0.27424675,-0.0079668835,-0.07355842,-0.006508019,0.33040473,0.115247935,0.026243804,13.133396,2023-05-18 06:15:00
13.447439,136.25996,47.721977,10.317259,5.2186594,33.061077,-25.821287,36.025585,-1.4360814,1017.3697,81.620804,1024.4309,-0.00018611248,24.92254,0.2795635,13.458661,198.99146,5.4327974,5.2728877,0.29350135,-0.30417454,0.48091465,-0.11767561,0.20913655,-0.016057465,-0.061357893,-0.0020218722,0.30444452,0.084575,0.021027973,13.320209,2023-05-18 06:30:00
13.608712,132.14644,47.63086,10.374146,6.23384,48.931927,-25.757679,36.45499,-1.60655,1017.3103,81.33136,1024.3633,6.191505e-05,30.622812,0.30536702,14.568737,198.8347,5.4194393,5.2332516,0.23886184,-0.25952813,0.46312094,0.00024415553,0.09678366,-0.01966932,-0.04791084,-0.005087153,0.3040871,0.10160027,0.011416569,13.459222,2023-05-18 06:45:00
13.74719,128.39018,50.6441,10.485171,7.852254,65.91085,-24.92967,27.407658,-1.7795945,1017.2369,82.051,1024.2141,0.002959596,32.215244,0.43507573,14.452737,199.42441,5.191434,5.030231,0.25878826,-0.28002453,0.4103368,0.10483107,0.008631349,-0.016546424,-0.031477936,-0.013081947,0.3370377,0.085844055,0.0029372107,13.58983,2023-05-18 07:00:00
13.734843,126.57678,53.593685,10.528337,11.916791,94.676384,-22.989323,21.83427,-1.9434737,1017.1014,82.79094,1024.016,0.0026741172,34.883533,0.6271586,12.387499,205.34703,4.840533,4.7002473,0.33332384,-0.37286144,0.34491014,0.1774916,-0.12831756,-0.010605514,-0.03458166,-0.020491628,0.34861237,0.09505427,-6.392857e-05,13.5788145,2023-05-18 07:15:00
13.729443,113.45419,53.197033,10.506118,16.924755,137.59796,-21.822933,37.288563,-1.9907118,1016.97833,82.59875,1023.83575,-0.0019965186,48.925846,0.6893224,11.927064,203.24878,4.616296,4.5830736,0.38115948,-0.39102435,0.34534627,0.19523896,-0.07822838,-0.010032963,-0.06355617,-0.025600959,0.37274402,0.0600422,0.0012793927,13.540059,2023-05-18 07:30:00
13.61348,100.42749,54.488716,10.447668,20.266834,169.44589,-22.017216,59.70882,-2.0078254,1016.9338,82.441185,1023.8324,-0.0030583688,67.68557,0.68518883,12.396753,202.28674,4.4842753,4.481486,0.39756227,-0.3388967,0.31916544,0.22329952,-0.0155447945,-0.007548645,-0.095620625,-0.024090853,0.40380383,0.083404906,0.0037290773,13.422253,2023-05-18 07:45:00
13.525311,96.27948,55.098305,10.387386,22.66846,194.13101,-23.4032,83.785416,-2.0197446,1016.88654,81.95006,1023.8613,-0.0022072326,87.817986,0.6654661,12.920799,202.29797,4.396226,4.3897667,0.38944215,-0.23472096,0.28965643,0.17296404,-0.034339674,-0.0030215036,-0.10312692,-0.02284649,0.38842207,0.112008125,0.002004383,13.379175,2023-05-18 08:00:00
